data_label,item,intended_construct,reverse_worded,scale,question_text
SYNTHETIC DATA,cred_01,credibility,False,1-5 Likert,Management keeps me informed about important issues.
SYNTHETIC DATA,cred_02,credibility,False,1-5 Likert,Management's actions match its words.
SYNTHETIC DATA,cred_03,credibility,False,1-5 Likert,Management is honest about the state of the business.
SYNTHETIC DATA,cred_04,credibility,True,1-5 Likert,Management hides bad news from staff.
SYNTHETIC DATA,cred_05,credibility,False,1-5 Likert,I can ask management a direct question and get a straight answer.
SYNTHETIC DATA,cred_06,credibility,False,1-5 Likert,Management delivers on the promises it makes.
SYNTHETIC DATA,cred_07,credibility,False,1-5 Likert,Communication from senior leaders is clear.
SYNTHETIC DATA,cred_08,credibility,False,1-5 Likert,I trust the information I receive from management.
SYNTHETIC DATA,resp_01,respect,False,1-5 Likert,I am treated as a full member of the team regardless of my position.
SYNTHETIC DATA,resp_02,respect,False,1-5 Likert,I am given the equipment and resources to do my job well.
SYNTHETIC DATA,resp_03,respect,False,1-5 Likert,My manager recognises good work.
SYNTHETIC DATA,resp_04,respect,False,1-5 Likert,My contribution is valued here.
SYNTHETIC DATA,resp_05,respect,False,1-5 Likert,I am involved in decisions that affect my work.
SYNTHETIC DATA,resp_06,respect,True,1-5 Likert,People here are treated as a number rather than a person.
SYNTHETIC DATA,resp_07,respect,False,1-5 Likert,Training is available when I need it to do my job.
SYNTHETIC DATA,resp_08,respect,False,1-5 Likert,My manager takes an interest in me as a person.
SYNTHETIC DATA,fair_01,fairness,False,1-5 Likert,People here are paid fairly for the work they do.
SYNTHETIC DATA,fair_02,fairness,False,1-5 Likert,Promotions go to those who best deserve them.
SYNTHETIC DATA,fair_03,fairness,True,1-5 Likert,Favouritism decides who gets ahead here.
SYNTHETIC DATA,fair_04,fairness,False,1-5 Likert,Everyone has a fair chance at recognition.
SYNTHETIC DATA,fair_05,fairness,False,1-5 Likert,People are treated fairly regardless of their background.
SYNTHETIC DATA,fair_06,fairness,False,1-5 Likert,Performance is judged on objective criteria.
SYNTHETIC DATA,fair_07,fairness,False,1-5 Likert,If I were treated unfairly I could raise it and be heard.
SYNTHETIC DATA,fair_08,fairness,False,1-5 Likert,Workload is shared fairly across the team.
SYNTHETIC DATA,prid_01,pride,False,1-5 Likert,I am proud to tell others I work here.
SYNTHETIC DATA,prid_02,pride,False,1-5 Likert,My work has meaning; it is not 'just a job'.
SYNTHETIC DATA,prid_03,pride,False,1-5 Likert,I am proud of what we accomplish as a team.
SYNTHETIC DATA,prid_04,pride,False,1-5 Likert,I feel I make a difference here.
SYNTHETIC DATA,prid_05,pride,False,1-5 Likert,This organisation contributes something positive.
SYNTHETIC DATA,prid_06,pride,False,1-5 Likert,I would recommend this company as a place to work.
SYNTHETIC DATA,prid_07,pride,False,1-5 Likert,I am proud of the quality of what we produce.
SYNTHETIC DATA,prid_08,pride,False,1-5 Likert,People here are willing to give extra to get the job done.
SYNTHETIC DATA,camr_01,camaraderie,False,1-5 Likert,People here care about each other.
